City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Gunib,RU,42.3876,46.9651,28.92,73,18,3.0,few clouds
Ingham,US,42.6,-84.3833,47.82,72,100,0.0,overcast clouds
Isabela,PH,6.7085,121.9711,77.52,85,92,1.39,overcast clouds
Somers,US,42.6403,-87.9104,42.57,85,100,6.91,haze
Isangel,VU,-19.55,169.2667,79.83,78,95,1.32,overcast clouds
Asilah,MA,35.465,-6.0348,66.16,77,100,8.79,overcast clouds
Bani,DO,18.2833,-70.3333,82.85,50,44,3.74,scattered clouds
Nova Odesa,UA,47.3078,31.7851,41.04,92,100,13.69,light rain
Saint-Francois,FR,46.4154,3.9054,32.68,93,75,3.44,mist
Komsomolskiy,UZ,40.4272,71.7189,34.52,80,75,4.61,mist
Gadwal,IN,16.2333,77.8,68.65,51,100,4.5,overcast clouds
Kavieng,PG,-2.5744,150.7967,81.41,75,95,7.9,overcast clouds
Salalah,OM,17.0151,54.0924,80.69,61,75,3.44,broken clouds
Port Elizabeth,ZA,-33.918,25.5701,70.11,86,20,20.71,few clouds
Katobu,ID,-4.9408,122.5276,73.99,83,98,1.81,overcast clouds
Rapid Valley,US,44.0625,-103.1463,27.59,76,0,14.0,clear sky
Middletown,US,39.5151,-84.3983,52.54,95,100,5.75,mist
Jiayuguan,CN,39.8167,98.3,17.98,78,100,3.91,overcast clouds
Chota,PE,-6.55,-78.65,64.98,63,99,4.81,light rain
Nador,MA,35.174,-2.9287,62.85,72,0,2.3,clear sky
Mackenzie,CA,55.2999,-123.1698,25.02,93,100,6.91,light snow
Tarrafal,CV,15.2833,-23.7667,79.59,82,22,13.56,few clouds
Hornepayne,CA,49.2138,-84.7705,4.96,76,100,7.72,overcast clouds
Williston,US,48.147,-103.618,9.34,71,22,4.0,few clouds
Tilichiki,RU,60.4667,166.1,2.84,96,100,6.67,overcast clouds
Constitucion,CL,-35.3333,-72.4167,68.38,66,22,10.07,few clouds
Chokurdakh,RU,70.6333,147.9167,-8.99,99,100,6.62,overcast clouds
Svencionys,LT,55.15,26.1667,31.53,98,100,12.82,light snow
Calama,CL,-22.4667,-68.9333,75.69,12,0,25.32,clear sky
Adiake,CI,5.2863,-3.304,79.23,82,67,8.77,broken clouds
Denpasar,ID,-8.65,115.2167,80.26,74,40,2.3,scattered clouds
Moron,AR,-34.6534,-58.6198,93.02,31,100,8.7,light rain
Namibe,AO,-15.1961,12.1522,69.46,75,5,5.68,clear sky
Almeria,ES,37.1667,-2.3333,52.77,83,99,2.01,overcast clouds
La Union,PE,-5.4,-80.75,82.53,42,99,16.17,overcast clouds
Samfya,ZM,-11.3649,29.5565,67.86,79,1,5.66,light rain
Cheremukhovo,RU,60.3484,59.9851,12.02,84,100,3.96,overcast clouds
Camacha,PT,33.0833,-16.3333,65.62,64,40,18.41,scattered clouds
Masterton,NZ,-40.9597,175.6575,50.88,68,100,7.96,overcast clouds
Sisimiut,GL,66.9395,-53.6735,30.09,84,100,13.33,light snow
Srednekolymsk,RU,67.45,153.6833,-38.2,96,9,4.56,clear sky
Mussomeli,IT,37.5778,13.7513,51.87,91,25,3.76,scattered clouds
Fonte Boa,BR,-2.4959,-66.2662,79.23,81,100,3.11,overcast clouds
Pasni,PK,25.2631,63.471,75.34,62,0,7.11,clear sky
Tessalit,ML,20.1986,1.0114,79.79,14,0,12.46,clear sky
Norman Wells,CA,65.282,-126.8329,-34.56,67,75,5.75,broken clouds
Sabak,MY,3.7675,100.9875,75.99,93,100,1.86,overcast clouds
Kaitangata,NZ,-46.2817,169.8464,51.3,74,100,8.46,overcast clouds
Ciudad Bolivar,VE,8.1222,-63.5497,81.27,57,100,6.4,light rain
Bayasong,PH,6.6489,124.8731,73.81,93,100,0.76,overcast clouds
Miandrivazo,MG,-19.5167,45.4667,79.27,77,0,3.27,clear sky
Laguna,US,38.421,-121.4238,55.09,83,0,4.61,clear sky
Hofn,IS,64.2539,-15.2082,26.62,63,20,17.27,few clouds
Xiamen,CN,24.4798,118.0819,62.26,77,0,11.18,clear sky
Ntungamo,UG,-0.8833,29.65,63.25,94,83,3.62,broken clouds
La Ronge,CA,55.1001,-105.2842,-10.95,64,100,16.11,light snow
Ukiah,US,39.1502,-123.2078,52.97,90,0,2.28,clear sky
Jagalur,IN,14.5333,76.35,68.29,47,100,5.21,overcast clouds
Anadyr,RU,64.75,177.4833,0.1,71,0,8.95,clear sky
Kedougou,SN,12.5579,-12.1743,99.18,20,0,4.61,clear sky
Rangapara,IN,26.8167,92.65,59.43,66,2,3.8,clear sky
Codrington,AU,-38.2667,141.9667,53.31,51,100,19.51,overcast clouds
Puerto Escondido,MX,15.85,-97.0667,84.04,57,0,7.16,clear sky
Plastun,RU,44.7561,136.2939,14.77,81,14,6.38,few clouds
Perpignan,FR,42.75,2.75,51.73,82,100,2.3,overcast clouds
Corner Brook,CA,48.9667,-57.9484,32.16,97,100,4.9,overcast clouds
Surt,LY,31.2089,16.5887,70.95,40,56,11.36,broken clouds
Somerset East,ZA,-32.7217,25.588,60.94,75,0,8.99,clear sky
Monroe,US,43.1501,-77.6831,46.65,93,100,9.22,mist
Lagos,NG,6.5833,3.75,79.83,80,100,5.82,overcast clouds
Peniche,PT,39.3558,-9.3811,57.29,95,100,22.84,overcast clouds
Pontian Kecil,MY,1.4801,103.3899,81.01,85,100,5.86,overcast clouds
Staryy Oskol,RU,51.2967,37.8417,19.47,59,100,15.95,overcast clouds
Waingapu,ID,-9.6567,120.2641,78.26,79,82,1.79,broken clouds
Denizli,TR,37.8402,29.0698,50.67,73,93,2.55,overcast clouds
Nova Olimpia,BR,-14.7972,-57.2881,90.07,51,99,0.63,overcast clouds
Marsa Matruh,EG,31.3525,27.2453,62.8,48,0,9.22,clear sky
Atambua,ID,-9.1061,124.8925,72.81,78,56,3.27,broken clouds
Boshnyakovo,RU,49.6333,142.1667,12.79,61,100,9.48,overcast clouds
Penarroya-Pueblonuevo,ES,38.3,-5.2667,52.23,86,100,6.96,overcast clouds
Dunkirk,FR,51.05,2.3667,42.82,43,99,13.38,overcast clouds
Butka,RU,56.7179,63.7866,3.0,92,13,8.08,few clouds
Chipata,ZM,-13.6333,32.65,68.52,76,100,5.66,light rain
Severobaykalsk,RU,55.65,109.3167,6.19,74,95,8.37,overcast clouds
Andra,RU,62.5147,65.8878,10.15,85,97,8.23,overcast clouds
Minot,US,48.2325,-101.2963,3.42,66,0,10.36,clear sky
Mackay,AU,-21.15,149.2,69.67,76,2,10.04,clear sky
Rundu,NA,-17.9333,19.7667,74.25,54,63,5.46,broken clouds
Jacqueville,CI,5.2052,-4.4146,80.53,82,82,11.36,broken clouds
Saposoa,PE,-6.934,-76.7716,90.41,42,87,3.18,overcast clouds
Kargasok,RU,59.0556,80.8572,5.31,92,100,10.98,overcast clouds
Araouane,ML,18.9048,-3.5265,81.79,14,5,7.34,clear sky
Nara,JP,34.6851,135.8049,44.96,50,6,5.17,clear sky
Gambela,ET,8.25,34.5833,82.09,48,100,1.54,overcast clouds
Jiwani,PK,25.05,61.7417,76.8,63,0,9.91,clear sky
Chapais,CA,49.7834,-74.8492,29.98,92,75,4.99,broken clouds
Eidfjord,NO,60.4675,7.0719,13.8,92,15,3.47,few clouds
Shintomi,JP,32.0785,131.4723,42.35,64,0,4.97,clear sky
Sioux Lookout,CA,50.1001,-91.917,-9.33,77,0,5.75,clear sky
Gari,RU,59.4307,62.3497,7.9,86,62,8.23,broken clouds
Olafsvik,IS,64.8945,-23.7142,33.04,69,55,15.1,broken clouds
Serenje,ZM,-13.2325,30.2352,63.54,88,59,0.78,light rain
Bayan,CN,46.0833,127.4,-0.53,98,10,3.11,clear sky
Champua,IN,22.0833,85.6667,56.73,42,81,1.34,broken clouds
Khanu Woralaksaburi,TH,16.0617,99.8606,77.38,74,100,2.95,overcast clouds
Douglas,US,41.3,-96.167,41.52,62,0,13.8,clear sky
Tyret Pervaya,RU,53.6703,102.3106,8.42,90,100,4.18,overcast clouds
Kraslava,LV,55.8951,27.168,27.75,96,100,12.1,snow
Ekhabi,RU,53.5102,142.9671,-4.32,96,18,11.88,few clouds
Caravelas,BR,-17.7125,-39.2481,79.5,71,100,8.23,overcast clouds
Livingstone,ZM,-17.8419,25.8543,72.21,70,84,2.68,light rain
Dunedin,NZ,-45.8742,170.5036,53.8,71,100,8.99,overcast clouds
Virginia Beach,US,36.8529,-75.978,68.05,93,100,9.22,overcast clouds
Ilabaya,PE,-17.4208,-70.5133,74.46,52,75,11.61,broken clouds
Namangan,UZ,40.9983,71.6726,32.45,93,100,2.3,light snow
Salo,IT,45.6086,10.531,46.8,69,4,4.18,clear sky
Alyangula,AU,-13.8483,136.4192,82.42,66,92,9.1,overcast clouds
Aldama,MX,22.9167,-98.0667,80.8,60,41,11.32,scattered clouds
Ahipara,NZ,-35.1667,173.1667,61.65,80,93,17.16,overcast clouds
Antofagasta,CL,-23.65,-70.4,69.08,67,19,8.3,few clouds
Marawi,PH,7.9986,124.2928,67.19,97,100,1.1,overcast clouds
Asfi,MA,32.2994,-9.2372,66.45,71,100,18.9,overcast clouds
Yeppoon,AU,-23.1333,150.7333,74.98,78,1,3.06,clear sky
Jega,NG,12.2175,4.3792,80.1,19,3,10.96,clear sky
Krasnoselkup,RU,65.7,82.4667,3.79,94,100,15.26,overcast clouds
Porto Novo,BJ,6.4965,2.6036,80.55,79,83,7.54,broken clouds
Bibiani,GH,6.4635,-2.3194,77.22,58,31,2.06,scattered clouds
Suez,EG,29.9737,32.5263,59.45,68,0,3.02,clear sky
Plettenberg Bay,ZA,-34.0527,23.3716,62.42,84,0,2.86,clear sky
Puerto Narino,CO,-3.7703,-70.3831,84.63,64,96,3.58,overcast clouds
Salamiyah,SY,35.0113,37.0532,55.04,70,100,7.54,overcast clouds
Majene,ID,-3.5403,118.9707,77.83,87,61,3.74,broken clouds
Khani,GE,41.9563,42.9566,36.97,67,9,4.85,clear sky
Egvekinot,RU,66.3167,-179.1667,-14.55,99,98,3.85,overcast clouds
Itoman,JP,26.1247,127.6694,66.58,74,75,13.8,broken clouds
Loukhi,RU,66.0764,33.0381,13.71,99,93,3.09,overcast clouds
Coihaique,CL,-45.5752,-72.0662,61.41,82,75,6.91,light rain
Caboolture,AU,-27.0833,152.95,69.33,91,97,3.15,light rain
San Jeronimo,PE,-11.9472,-75.2829,55.87,64,100,11.16,overcast clouds
Strai,NO,58.2,7.9,16.39,93,0,4.61,clear sky
High Level,CA,58.5169,-117.136,-11.09,77,100,8.05,overcast clouds
Mayumba,GA,-3.432,10.6554,76.73,86,100,2.46,overcast clouds
Kotido,UG,2.9806,34.1331,77.14,43,17,9.53,few clouds
Chany,RU,55.3121,76.7647,-4.41,99,76,6.85,broken clouds
Cochrane,CA,51.1834,-114.4687,34.84,51,0,21.85,clear sky
Umm Lajj,SA,25.0213,37.2685,74.97,65,0,9.73,clear sky
Ust-Kulom,RU,61.6864,53.6902,18.86,81,100,8.86,overcast clouds
Perigueux,FR,45.1833,0.7167,37.08,80,96,3.87,overcast clouds
Luau,AO,-10.7073,22.2247,66.65,81,99,1.92,overcast clouds
Shirokiy,RU,49.758,129.523,-22.59,100,94,3.69,overcast clouds
Yarega,RU,63.4354,53.5765,19.0,94,100,8.97,light snow
Adela,PH,12.4416,120.9729,75.02,79,97,4.0,overcast clouds
Indramayu,ID,-6.3264,108.32,77.16,89,100,9.64,overcast clouds
Port Hedland,AU,-20.3167,118.5667,77.05,69,2,9.22,clear sky
Pimentel,PE,-6.8367,-79.9342,75.49,60,0,13.8,clear sky
Naze,JP,28.3667,129.4833,61.72,60,53,16.78,broken clouds
Perth,AU,-31.9333,115.8333,68.04,57,0,12.66,clear sky
Tadine,NC,-21.55,167.8833,77.16,84,100,6.6,overcast clouds
Mariental,NA,-24.6333,17.9667,85.08,8,0,8.63,clear sky
Sawakin,SD,19.1059,37.3321,78.93,69,63,10.13,broken clouds
Dolzhanskaya,RU,46.6311,37.8039,35.08,76,96,16.58,overcast clouds
Troitskoye,RU,52.9821,84.6757,-12.55,100,99,2.35,overcast clouds
Jacmel,HT,18.2342,-72.5347,87.64,50,23,5.14,few clouds
Noyabrsk,RU,63.1994,75.4507,7.25,85,100,18.7,overcast clouds
Bilma,NE,18.6853,12.9164,72.25,18,100,7.07,overcast clouds
Paita,PE,-5.0892,-81.1144,73.63,66,76,14.63,broken clouds
Shawnee,US,39.05,-95.7669,48.29,75,100,1.54,overcast clouds
Kalakamati,BW,-20.5929,27.3121,67.33,75,78,8.16,broken clouds
Ambilobe,MG,-13.2,49.05,75.78,81,12,2.82,few clouds
Cedeno,CO,7.0464,-72.1634,86.2,47,5,4.97,clear sky
Arona,ES,28.0996,-16.681,64.72,96,75,8.05,broken clouds
Cayenne,GF,4.9333,-52.3333,86.04,70,20,11.5,few clouds
Katsuura,JP,35.1333,140.3,50.56,66,0,4.88,clear sky
Curup,ID,-3.4667,102.5333,67.5,99,100,0.76,light rain
Chiredzi,ZW,-21.05,31.6667,77.86,63,50,7.61,scattered clouds
Arlit,NE,18.7369,7.3853,77.02,11,9,10.76,clear sky
Setermoen,NO,68.861,18.3486,-0.44,90,100,5.08,overcast clouds
Lahat,ID,-3.8,103.5333,72.75,97,99,2.26,overcast clouds
Puerto Quijarro,BO,-17.7833,-57.7667,93.11,44,98,2.37,overcast clouds
Tayu,ID,-6.5397,111.0518,77.99,84,100,3.78,overcast clouds
Fare,PF,-16.7,-151.0167,80.58,75,100,20.69,overcast clouds
Kpandae,GH,8.4689,-0.0113,83.46,29,1,5.17,clear sky
Kirkenes,NO,69.7271,30.0458,28.62,93,75,0.0,broken clouds
Wagar,SD,16.1525,36.2032,77.5,61,18,18.14,few clouds
Solnechnyy,RU,50.7214,136.6319,-4.18,82,3,3.67,clear sky
Tabou,CI,4.423,-7.3528,78.75,85,1,5.86,clear sky
Killybegs,IE,54.6333,-8.45,42.51,67,97,10.29,overcast clouds
Kiama,AU,-34.6833,150.8667,60.58,82,10,1.99,clear sky
Tura,IN,25.5198,90.2201,60.19,91,60,3.33,broken clouds
Linxia,CN,35.6003,103.2064,27.48,62,88,2.75,overcast clouds
Lappeenranta,FI,61.0587,28.1887,24.78,92,40,6.91,light snow
Puerto El Triunfo,SV,13.2833,-88.55,87.21,47,4,1.88,clear sky
Neka,IR,36.6508,53.299,44.11,93,0,2.3,clear sky
Martil,MA,35.6166,-5.2752,62.56,77,40,3.44,scattered clouds
Bilibino,RU,68.0546,166.4372,-27.09,100,87,3.56,overcast clouds
Rocha,UY,-34.4833,-54.3333,91.38,19,0,14.88,clear sky
La Paz,BO,-16.5,-68.15,57.18,58,75,12.66,broken clouds
Shuyskoye,RU,59.3736,41.0305,15.94,79,26,10.33,scattered clouds
Nuuk,GL,64.1835,-51.7216,34.88,69,100,18.99,overcast clouds
Alihe,CN,50.5667,123.7167,-12.48,98,23,3.22,few clouds
Salantai,LT,56.0667,21.5667,35.1,98,100,9.91,light snow
Tarko-Sale,RU,64.9225,77.785,8.44,89,100,17.05,overcast clouds
Artyom,AZ,40.4723,50.333,42.94,64,100,12.41,overcast clouds
Bayji,IQ,34.9311,43.487,58.1,54,15,1.07,few clouds
Coruripe,BR,-10.1256,-36.1756,80.91,70,7,9.55,clear sky
Northam,GB,51.0333,-4.2167,40.24,73,17,6.46,few clouds
Gobabis,NA,-22.45,18.9667,77.65,6,0,10.92,clear sky
Itarema,BR,-2.9248,-39.9167,84.42,65,22,17.98,few clouds
Talara,PE,-4.5772,-81.2719,81.36,54,0,16.11,clear sky
Fayaoue,NC,-20.65,166.5333,75.99,90,100,4.76,light rain
Batticaloa,LK,7.7102,81.6924,76.35,73,100,28.05,moderate rain
Waipawa,NZ,-41.4122,175.5153,53.83,68,100,12.71,overcast clouds
Aden,YE,12.7794,45.0367,78.78,69,14,11.79,few clouds
Zharkovskiy,RU,55.849,32.2697,22.73,89,100,13.91,overcast clouds
Manzanillo,CU,20.3433,-77.1167,85.78,40,23,14.34,few clouds
Sangar,RU,63.9242,127.4739,-20.74,84,100,6.89,overcast clouds
Yuzhnyy,RU,53.2542,83.6936,-9.02,77,67,4.47,smoke
Diamantino,BR,-14.4086,-56.4461,85.35,60,99,5.44,moderate rain
Batagay-Alyta,RU,67.8006,130.4114,-22.29,87,100,2.51,overcast clouds
Qaqortoq,GL,60.7167,-46.0333,20.25,74,92,5.01,overcast clouds
Cheremnoye,RU,53.1697,83.2133,-8.81,97,17,4.0,few clouds
Aitape,PG,-3.1374,142.3475,76.41,89,100,2.04,overcast clouds
Camabatela,AO,-8.1881,15.375,61.63,99,99,0.98,light rain
Khovu-Aksy,RU,51.1333,93.6,-12.51,91,100,0.96,overcast clouds
Evensk,RU,61.95,159.2333,5.54,96,100,7.72,overcast clouds
Lipin Bor,RU,60.2622,37.9763,17.6,81,16,14.07,few clouds
Taltal,CL,-25.4,-70.4833,68.11,70,99,4.03,overcast clouds
Kathua,IN,32.3667,75.5167,55.87,36,0,2.89,clear sky
Tagusao,PH,9.1924,117.8141,78.13,86,100,3.62,overcast clouds
Anchorage,US,61.2181,-149.9003,30.24,90,100,12.66,snow
Ixtapa,MX,20.7,-105.2,85.23,58,0,9.22,clear sky
Arsikere,IN,13.3139,76.2561,63.36,54,100,2.33,overcast clouds
Rio Grande,BR,-32.035,-52.0986,87.91,66,0,12.62,clear sky
Siverskiy,RU,59.3544,30.0783,20.7,91,100,12.21,overcast clouds
Lethem,GY,3.3803,-59.7968,89.15,54,87,4.27,overcast clouds
Ngunguru,NZ,-35.6167,174.5,59.32,92,100,27.45,light rain
Iwanuma,JP,38.1047,140.8594,40.91,91,38,4.72,scattered clouds
Chagoda,RU,59.164,35.3285,18.39,86,98,12.15,overcast clouds
Bang Sai,TH,14.2124,100.4966,82.0,76,27,5.46,scattered clouds
Rawson,AR,-43.3002,-65.1023,73.98,46,55,10.69,broken clouds
Mwense,ZM,-10.3845,28.698,69.67,73,7,3.29,clear sky
Magway,MM,20.15,94.9167,70.34,65,90,3.85,overcast clouds
Saint-Augustin,CA,51.226,-58.6502,30.24,88,100,7.85,overcast clouds
Venado Tuerto,AR,-33.7456,-61.9688,105.82,13,28,12.68,scattered clouds
Oistins,BB,13.0667,-59.5333,84.29,65,20,3.44,few clouds
Vyazemskiy,RU,47.5378,134.7525,1.63,95,12,5.57,few clouds
Neuquen,AR,-38.9516,-68.0591,89.49,12,0,13.8,clear sky
Rio Cuarto,AR,-33.1307,-64.3499,98.37,22,20,27.63,few clouds
Keti Bandar,PK,24.1447,67.4497,74.32,58,0,5.3,clear sky
Asyut,EG,27.181,31.1837,62.78,49,0,5.91,clear sky
Khor,RU,47.8861,134.9464,-1.44,97,11,6.64,few clouds
Chitral,PK,35.8462,71.7858,39.29,50,74,5.99,broken clouds
Bima,ID,-8.4667,118.7167,76.84,88,100,3.27,overcast clouds
Lamar,US,33.6668,-95.5836,64.63,97,100,0.0,mist
Hay River,CA,60.8156,-115.7999,-23.84,68,20,2.3,few clouds
Nefteyugansk,RU,61.0998,72.6035,1.74,92,100,14.0,overcast clouds
Ormara,PK,25.2088,64.6357,76.24,55,0,7.92,clear sky
Lakselv,NO,70.0513,24.9718,17.42,93,75,3.44,broken clouds
Punta Gorda,US,26.9298,-82.0454,84.0,76,8,5.99,clear sky
Ergani,TR,38.2653,39.7621,43.9,81,82,2.15,broken clouds
Mananara,MG,-16.1667,49.7667,72.68,93,12,5.12,light rain
Gimli,CA,50.6336,-96.9907,-11.18,58,3,13.8,clear sky
Bowen,AU,-20.0167,148.2333,77.45,70,8,4.0,clear sky
Bandarbeyla,SO,9.4942,50.8122,78.13,75,100,14.56,overcast clouds
Algiers,DZ,36.7525,3.042,55.22,94,20,3.44,few clouds
Luanda,AO,-8.8368,13.2343,77.65,82,100,10.25,overcast clouds
Rajkot,IN,22.3,70.7833,71.94,39,0,8.25,clear sky
Graaff-Reinet,ZA,-32.2522,24.5308,67.6,57,0,14.61,clear sky
Tondon,GN,10.3667,-13.35,80.87,63,6,5.03,clear sky
Hami,CN,42.8,93.45,23.05,49,1,2.91,clear sky
Conde,BR,-7.2597,-34.9075,83.66,61,40,14.97,scattered clouds
Barcelona,ES,41.3888,2.159,56.86,80,20,4.61,few clouds
Muzhi,RU,65.3667,64.6667,9.86,87,100,7.96,overcast clouds
Eureka,US,40.8021,-124.1637,49.24,88,0,1.01,clear sky
Chaadayevka,RU,53.1427,45.9122,7.61,87,6,8.32,clear sky
Chara,RU,56.9064,118.2631,-3.37,77,78,3.11,broken clouds
Kieta,PG,-6.2167,155.6333,78.26,84,100,1.45,overcast clouds
Smirnykh,RU,49.75,142.8333,2.64,93,100,2.33,overcast clouds
Ulma,DE,48.3984,9.9916,37.47,93,100,1.01,overcast clouds
Vogosca,BA,43.9019,18.3481,44.47,100,75,0.0,mist
Khorinsk,RU,52.1657,109.7726,9.88,84,100,11.56,overcast clouds
Ballina,AU,-28.8667,153.5667,68.0,92,93,3.42,overcast clouds
Acajutla,SV,13.5928,-89.8275,85.17,54,6,6.31,clear sky
Santa Cruz,BO,-17.8,-63.1667,95.05,46,75,17.27,broken clouds
Nazilli,TR,37.9163,28.3223,51.69,80,50,1.59,scattered clouds
Katangli,RU,51.7102,143.2326,-8.39,99,41,8.28,scattered clouds
Rosetta,EG,31.4044,30.4164,62.31,69,3,4.81,clear sky
Itaituba,BR,-4.2761,-55.9836,93.36,59,20,5.75,few clouds
Maceio,BR,-9.6658,-35.7353,83.64,69,40,12.66,scattered clouds
Manaquiri,BR,-3.3167,-60.35,90.09,53,100,3.78,overcast clouds
Beringovskiy,RU,63.05,179.3167,7.47,77,2,10.04,clear sky
Sao Miguel Do Araguaia,BR,-13.275,-50.1628,87.15,54,100,4.45,overcast clouds
Amuntai,ID,-2.4177,115.2494,72.95,98,87,1.32,overcast clouds
Pedregulho,BR,-20.2569,-47.4767,72.01,84,50,10.04,scattered clouds
Yeniseysk,RU,58.4497,92.1703,9.36,91,100,10.56,light snow
Kiruna,SE,67.8557,20.2251,18.52,93,100,3.44,snow
Finnsnes,NO,69.2296,17.9811,0.21,75,100,5.26,overcast clouds
Mundra,IN,22.85,69.7333,73.02,31,0,9.31,clear sky
Adre,TD,13.4667,22.2,66.47,20,0,11.63,clear sky
Rio Gallegos,AR,-51.6226,-69.2181,57.25,30,75,14.97,broken clouds
Tazovskiy,RU,67.4667,78.7,10.22,95,100,12.15,light snow
Kavaratti,IN,10.5669,72.642,81.79,72,99,5.91,overcast clouds
Sembe,CG,1.6481,14.5806,71.08,95,99,2.93,overcast clouds
Gospic,HR,44.5461,15.3747,42.49,97,98,5.82,overcast clouds
Manono,CD,-7.3,27.4167,68.22,96,50,1.48,scattered clouds
Vilyuysk,RU,63.7553,121.6247,-21.68,97,100,5.73,overcast clouds
Emerald,AU,-23.5333,148.1667,74.34,64,7,9.01,clear sky
Owando,CG,-0.4819,15.8999,71.56,97,100,1.97,moderate rain
Ludenscheid,DE,51.2167,7.6167,37.47,96,100,6.62,overcast clouds
Huarmey,PE,-10.0681,-78.1522,71.19,73,21,9.64,few clouds
Mabaruma,GY,8.2,-59.7833,75.74,96,100,4.5,overcast clouds
Okhansk,RU,57.7186,55.3877,6.87,94,94,7.09,overcast clouds
Cozumel,MX,20.5083,-86.9458,85.06,69,20,14.0,few clouds
Odweyne,SO,9.4092,45.064,70.59,58,80,4.43,broken clouds
Dibombari,CM,4.1787,9.6561,77.86,83,100,4.41,light rain
Udarnyy,RU,54.3409,42.8611,12.11,85,12,9.66,few clouds
Izmit,TR,40.7669,29.9169,50.67,65,100,1.77,overcast clouds
Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,85.8,74,40,2.3,scattered clouds
Sinjar,IQ,36.3209,41.8754,51.46,58,84,1.41,broken clouds
Durban,ZA,-29.8579,31.0292,76.12,93,21,4.0,few clouds
Bamnet Narong,TH,15.4992,101.6897,70.81,78,10,9.66,clear sky
Manzhouli,CN,49.6,117.4333,5.11,89,14,12.73,few clouds
Nurota,UZ,40.5614,65.6886,21.87,78,58,3.76,broken clouds
Asau,RO,46.4333,26.4,36.52,86,100,4.34,overcast clouds
Richards Bay,ZA,-28.783,32.0377,74.7,89,24,11.36,few clouds
Chase,CA,50.8165,-119.6857,29.28,90,97,2.95,overcast clouds
Matara,LK,5.9485,80.5353,77.45,77,100,13.31,overcast clouds
Guarapari,BR,-20.6667,-40.4975,73.89,96,100,8.1,light rain
Whyalla,AU,-33.0333,137.5833,56.57,61,0,15.82,clear sky
Tello,CO,3.0669,-75.1378,81.01,72,46,2.37,scattered clouds
San Jose,US,37.3394,-121.895,57.06,80,0,4.0,clear sky
Alberton,CA,46.8168,-64.0654,40.91,89,100,16.35,overcast clouds
Bulgan,MN,48.8125,103.5347,-5.82,86,2,3.76,clear sky
Piacabucu,BR,-10.4056,-36.4344,81.28,70,9,9.48,clear sky
Ubinskoye,RU,55.3068,79.6802,-3.78,98,84,8.43,broken clouds
Ozernovskiy,RU,51.5,156.5167,29.73,89,100,17.27,snow
Jijiga,ET,9.35,42.8,63.68,61,22,4.7,few clouds
Marzuq,YE,14.4,46.4667,63.77,73,34,4.43,scattered clouds
Namatanai,PG,-3.6667,152.4333,78.57,82,100,6.51,overcast clouds
Freeport,US,40.6576,-73.5832,58.98,92,100,6.91,fog
Dejen,ET,10.1667,38.1333,59.79,39,87,4.07,overcast clouds
Wanning,CN,18.8003,110.3967,69.64,89,100,8.66,overcast clouds
Nanakuli,US,21.3906,-158.1547,78.46,60,75,12.66,broken clouds
Port Hardy,CA,50.6996,-127.4199,41.18,81,100,27.63,overcast clouds
